audit_bucket,date,trigger_time,symbol,direction,r_rank,pos_vs_open,swing_candle_time,level_price,entry_price,bo_range,atr_at_entry,atr_ratio,range_ratio
extreme_huge,2025-09-09,10:50,TATAELXSI,short,4,above,10:20,5635.5,5542.5,126.5,24.063890125633133,5.256839161896386,3.7560975609756095
extreme_huge,2025-08-20,11:10,AUROPHARMA,long,4,below,10:15,1049.8,1063.0,16.299999999999955,3.392865642387769,4.804198491198914,6.303867403314851
extreme_huge,2026-04-23,10:20,DRREDDY,short,4,above,10:00,1294.0,1287.0,35.700000000000045,7.497974338433807,4.761285967198593,3.1433962264151027
extreme_huge,2026-01-07,10:00,KALYANKJIL,long,3,above,09:30,508.65,533.7,15.400000000000091,3.287137542137244,4.684927175267287,4.373225152129857
extreme_huge,2026-01-12,10:35,DMART,short,1,below,10:10,3884.5,3817.5,73.80000000000018,15.843267579331364,4.6581299994123295,4.672998643147901
extreme_huge,2026-05-07,10:00,POLICYBZR,short,2,below,09:40,1668.6,1636.6,52.100000000000136,11.892655533486792,4.380855045645554,3.580756013745709
extreme_huge,2025-09-12,11:55,GMRAIRPORT,long,4,below,11:35,87.98,88.13,0.9400000000000119,0.2230173435451475,4.2149188267490905,5.061538461538537
extreme_huge,2026-02-09,11:25,KALYANKJIL,short,2,above,10:35,418.35,417.45,11.800000000000011,2.8912785851817735,4.081239372946191,5.186813186813188
extreme_huge,2026-03-12,11:30,ADANIPOWER,long,3,above,11:15,143.94,146.19,2.809999999999974,0.7165310226850629,3.921672490145698,4.405375139977545
extreme_huge,2025-12-01,10:25,KFINTECH,long,1,above,09:45,1093.3,1112.4,24.0,6.294425279860169,3.8128977520459437,2.6772908366533814
extreme_huge,2025-08-29,10:15,SAMMAANCAP,long,4,above,09:40,123.21,124.6,2.480000000000004,0.6713421996783119,3.6940922247824575,2.5775798069784748
extreme_huge,2026-06-10,12:15,SHREECEM,long,3,above,11:50,23910.0,24050.0,210.0,57.68825431164551,3.6402557592665334,3.769230769230769
extreme_huge,2025-09-01,11:30,HINDZINC,long,2,above,11:00,438.35,442.4,5.25,1.4663913126476456,3.580217609528014,4.236311239193078
extreme_huge,2025-06-19,12:15,PAGEIND,short,3,below,12:00,45350.0,45195.0,265.0,74.10017836780624,3.576239704641961,5.578947368421052
extreme_huge,2026-06-09,12:00,ICICIGI,long,3,above,11:05,1787.0,1790.5,12.700000000000045,3.6234274865856824,3.5049687200908006,5.453987730061309
extreme_huge,2025-11-13,12:25,COCHINSHIP,long,3,above,12:05,1708.9,1717.0,15.800000000000182,4.746673055892579,3.328647204885086,4.303501945525333
extreme_huge,2026-05-14,11:35,ADANIENT,long,4,above,10:20,2663.0,2665.6,36.70000000000027,11.07032330297501,3.3151696653825464,4.004676539360883
extreme_huge,2026-04-30,11:30,KFINTECH,short,4,below,10:55,930.0,922.25,16.949999999999932,5.15986683943823,3.2849684938468933,3.9255583126550686
extreme_huge,2026-01-30,12:00,COLPAL,short,4,above,11:05,2100.0,2094.6,24.0,7.333083931806573,3.272838579673447,4.053075995174883
extreme_huge,2025-07-04,11:40,MARICO,long,2,below,10:55,728.95,733.85,7.5,2.3058853128447945,3.252546845336021,4.17495029821072
extreme_huge,2026-05-15,10:25,UNITDSPR,short,3,above,10:05,1330.1,1324.2,17.5,5.431695605352144,3.2218300272121843,2.2333637192342697
extreme_huge,2026-06-10,10:50,SHREECEM,long,3,above,09:25,23485.0,23570.0,165.0,51.804399443187265,3.185057674125763,3.6959999999999997
extreme_huge,2025-06-19,12:15,AMBER,short,2,below,12:00,6523.0,6477.0,60.5,19.145598045113434,3.1599953084485404,3.674620390455531
extreme_huge,2026-04-21,11:55,RADICO,short,4,below,11:25,3230.0,3203.1,31.40000000000009,9.953275066915664,3.1547405038943,5.731421121251592
extreme_huge,2025-11-14,12:05,PGEL,long,4,above,11:40,564.2,570.8,11.199999999999932,3.5759818982815146,3.1320069056787565,5.270588235294066
random_normal,2025-11-10,11:30,TORNTPHARM,long,1,above,10:50,3792.7,3793.9,16.0,12.315309720125498,1.299195908475857,1.6034359341445976
random_normal,2025-10-28,10:55,UPL,long,4,above,10:00,683.65,685.75,2.2000000000000455,1.6980497184627004,1.295603995619031,1.2007797270955425
random_normal,2026-04-01,12:25,COCHINSHIP,long,1,above,12:00,1357.3,1358.2,11.200000000000045,9.109904794184438,1.2294310701413562,1.438532110091746
random_normal,2025-09-29,10:30,PETRONET,long,4,above,10:15,268.2,268.35,0.9499999999999886,0.7849197032726652,1.2103148844895002,1.0639999999999825
random_normal,2026-04-17,11:00,RVNL,short,2,above,10:35,306.0,305.25,1.9800000000000182,1.7619420234422998,1.123760018012227,1.0488081725312284
random_normal,2026-04-09,12:30,NAUKRI,long,4,below,12:20,1009.65,1012.3,3.7999999999999545,3.442782034092437,1.1037585192353558,1.245901639344246
random_normal,2026-04-29,10:35,BANDHANBNK,long,1,above,10:00,198.32,198.47,1.5900000000000034,1.5393073111741238,1.032932143216557,1.0579847908745261
random_normal,2025-10-15,11:35,ICICIGI,long,1,above,11:20,1998.7,2004.5,6.7999999999999545,6.75226015369262,1.0070702024538,1.4208955223880502
random_normal,2026-01-22,11:20,PNBHOUSING,short,4,below,11:05,860.7,860.1,6.0499999999999545,6.234977054975574,0.9703323599518292,1.1079136690647409
random_normal,2026-02-18,11:55,GODFRYPHLP,short,1,above,11:40,2304.0,2303.1,11.300000000000182,13.23656101251566,0.8536960611835365,1.059611520428686
random_normal,2026-01-06,10:55,TRENT,short,1,below,10:35,2731.3,2725.8,11.0,13.139983309793877,0.8371395716919334,1.271676300578026
random_normal,2025-12-10,11:10,GODFRYPHLP,long,2,above,10:55,2849.9,2854.4,15.599999999999909,20.08085829656009,0.776859224322709,0.7525844245347996
random_normal,2025-06-23,11:50,SUPREMEIND,short,1,above,11:35,4457.1,4456.5,18.800000000000182,26.457402806277056,0.710576171729897,0.7347850362925795
random_normal,2026-04-23,11:30,OFSS,long,1,above,11:20,8574.5,8578.0,33.5,50.428197281963584,0.6643108777553265,0.7915611814345992
random_normal,2025-08-25,12:25,MPHASIS,long,2,above,12:00,2948.7,2950.6,4.099999999999909,6.7856956762837815,0.6042121833328803,0.7483702737939834
random_normal,2025-07-16,11:25,ICICIPRULI,short,3,below,10:45,652.05,651.55,1.6499999999999773,2.861825952168517,0.5765549783870357,0.7661691542288428
random_normal,2026-04-01,10:00,HYUNDAI,short,4,below,09:40,1786.4,1784.2,5.400000000000091,10.181403505994552,0.530378743639883,0.4486646884273066
random_normal,2026-02-02,12:10,NUVAMA,long,4,above,12:00,1252.9,1253.1,3.2000000000000455,7.136212524305898,0.44841713851722664,0.5295508274231732
random_normal,2025-07-23,10:10,LODHA,short,1,below,10:00,1359.0,1358.6,3.5,8.25712453027104,0.4238763733269156,0.3482587064676616
random_normal,2025-10-07,12:10,TRENT,short,1,below,12:00,3118.6,3116.8,4.0,9.48891922900506,0.4215443195862688,0.47945205479452163
random_normal,2025-10-20,11:25,AUBANK,long,2,above,11:05,856.8,857.5,1.6499999999999773,4.162176317594042,0.3964272231873551,0.508810572687218
random_normal,2025-08-04,10:50,FEDERALBNK,short,1,above,10:35,193.99,193.95,0.4399999999999977,1.1236793378520817,0.3915707846342176,0.4114896459585825
random_normal,2026-01-23,11:05,BANDHANBNK,long,1,below,10:35,149.5,149.6,0.23999999999998067,0.713691508630621,0.3362797470583265,0.4143033292231501
random_normal,2026-01-28,11:30,TATACONSUM,long,4,below,10:50,1128.1,1128.3,1.599999999999909,4.874853899395083,0.3282149645958522,0.3971631205673527
random_normal,2025-07-25,10:55,MPHASIS,short,2,above,10:35,2651.1,2651.0,4.5,16.491264323128412,0.27287174056684727,0.26728892660161296
