,value
n_trades,247.0
no_trade_days,2.0
expectancy_R,0.017846667832824382
total_R,4.4081269547076225
win_rate,0.3076923076923077
avg_win_R,2.007781439551701
avg_loss_R,-0.9685180552367428
pct_target,0.15384615384615385
pct_stop,0.5951417004048583
pct_breakeven,0.0728744939271255
pct_time,0.17813765182186234
n_breakeven,18.0
time_close_mean_R,0.8047301580615368
max_drawdown_R,13.160898389881691
max_dd_duration_trades,27.0
longest_losing_streak,7.0
avg_stop_dist_pct,0.005748881892054275
n_long,136.0
n_short,111.0
n_tie_stopfirst,1.0
